Mil Lel Extra Sharp Parmesan & Pecorino 170g, $40.59 / 1KG
South Cape Danish Style Fetta 200g, $32.50 / 1KG
Dare Mocha Iced Coffee 500ml, $8.30 / 1L
Flora Thickened Plant Cream 500ml, $1.30 / 100ML
Woolworths Asian Salad Bowl 230g, $23.91 / 1KG
J*st Milk Almond 1L, $3.00 / 1L
Foster Clark's Custard Powder 350g, $0.79 / 100G
Vitasoy Greek Style Soy Yogurt Hint Of Vanilla 450g, $1.29 / 100G
Woolworths Beetroot & Feta Salad Kit 270g, $24.07 / 1KG
Strength Meals Co Lemon Herb Chicken Chilled Meal 350g, $2.84 / 100G
Yumi's Sesame Falafel Balls 225g, $28.89 / 1KG
My Muscle Chef Satay Chicken With Basmati Rice & Green Peas 330g, $3.62 / 100G
Arnott's Jatz Cracker Biscuits & Tasty Cheese 33g, $103.03 / 1KG
La Tosca Fresh Filled Pasta Beef Ravioli Value Pack 750g, $0.83 / 100G
Evergreen Wonton Wrappers 300g, $1.37 / 100G
Tamar Valley Dairy Yoghurt Blueberry & Cream 700g, $1.00 / 100G
