Kraft Singles Original 432g, $20.83 / 1KG
Woolworths Beef Lasagne 2kg, $0.70 / 100G
Rokeby Protein Smoothie Double Espresso 425mL, $10.94 / 1L
Pauls Bluey Yoghurt Pouch Mango 70g, $1.71 / 100G
Woolworths Chicken Caesar Salad Bowl 180g, $43.33 / 1KG
Woolworths Greek Style Yoghurt 2kg, $0.40 / 100G
Chobani Mango Greek Yogurt Pouch 140g, $1.93 / 100G
Chobani Greek Yogurt Natural Whole Milk 907g, $0.87 / 100G
Vitasoy Almond Milky 1l, $3.00 / 1L
Riverina Fresh Full Cream Milk 2l, $2.30 / 1L
