The Man Bar Choc Hazelnut 50g, $9.00 / 100G
Woolworths Macadamias Honey 400g Pack, $40.00 / 1KG
Darrell Lea Milk Chocolate Coconut Rough Bb's 168g, $3.57 / 100G
Woolworths Honey Macadamia 120g, $58.33 / 1KG
Woolworths Sweet Dried Apricot Delight 180g, $38.89 / 1KG
Macro Roasted Nuts Mix 500g, $26.00 / 1KG
Arnott's Treatles Mint Flavour 90g, $6.67 / 100G
Olina's Bakehouse Artisan Cracker Biscuits Raisin & Pumpkin Seeds 100G, $4.50 / 100G
Well Naturally Milk Choc Almonds 80g, $6.88 / 100G
Byron Beef Jerky Smokey 40g, $143.75 / 1KG
Zuru Gumi Yum Surprise Pink 21g, $14.29 / 100G
Macro Fruit & Nut Roasted Mix 500g, $20.00 / 1KG
BC Snacks White Choc Cookies & Cream Energy Bar 40g, $10.00 / 100G
Woolworths Snack Pot Peanuts Cashews & Macadamia Mix 180g, $38.89 / 1KG
BC Snacks Milk Chocolate & Hazelnut No Added Sugar Bar 40g, $10.00 / 100G
