Continental Classics Cup A Soup Creamy Chicken With Lots Of Noodles 60g, $4.67 / 100G
Spam Ham Low Salt 340g, $20.00 / 1KG
Woolworths Thyme Leaves 12g, $1.13 / 10G
Old El Paso Soft Taco Dinner Kit Mexican Style 405g, $2.10 / 100G
Woolworths Green Stuffed Olives 450g, $0.51 / 100G
Woolworths White Rice Long Grain 5kg, $0.17 / 100G
Woolworths Canned Diced Beetroot 425g, $5.29 / 1KG
Continental Classics Pasta & Sauce Alfredo Family Pack 145g, $2.62 / 100G
Macro Organic Quinoa Tri Colour 500g, $1.40 / 100G
Sunrice Microwave Basmati Rice Cup 120g x 2 Pack, $1.46 / 100G
