Thins Chips Chicken 175g, $2.86 / 100G
Uncle Tobys Le Snak Tasty Cheese Dip & Crackers 12 Pack, $3.79 / 100G
Woolworths Sesame Seeds 100g, $13.00 / 1KG
Woolworths Hundreds & Thousands Biscuits 200g, $1.25 / 100G
Lotus Biscoff Biscuit 8 Pack, $2.14 / 100G
Nutella Hazelnut Chocolate Spread With Breadsticks 48g, $5.21 / 100G
Carman's Fruit Straps Apple & Strawberry Twin Packs 5 pack, $8.57 / 100G
Woolworths Celery Heart Each, $4.00 / 1EA
Chokito Caramel Milk Chocolate Bar 50g, $5.00 / 100G
Oreo Milk Chocolate Wafer Stick Cookies 10 Pack 128g, $2.34 / 100G
