Made With Plants Cheddar Slices Dairy Free 200g, $32.75 / 1KG
Leggo's Fresh Ricotta & Spinach Agnolotti 630g, $1.75 / 100G
Della Rosa Tomato Sauce Pizza Base 280g, $1.07 / 100G
Pauls Custard Vanilla 2kg, $0.44 / 100G
Evergreen Chow Mein Noodles 280G, $0.96 / 100G
Suntory Boss Coffee Iced Vanilla Latte Cans 237ml x4 Pack, $14.77 / 1L
Woolworths Garden Salad Bowl 180g, $30.56 / 1KG
Bega Colby Cheese Slices 500g, $22.00 / 1KG
Ice Break Iced Coffee Regular Flavoured Milk 750mL, $6.60 / 1L
Unreal Co. Plant Based Beefy Brat Sausages 350g, $17.14 / 1KG
Dodoni Greek Feta Cheese 400g, $46.25 / 1KG
Leggo's Ravioli Beef Tomato & Parmesan 360g, $2.22 / 100G
Latina Fresh Italian Tomato With Onion & Garlic Pasta Sauce 700g, $1.21 / 100G
