Cavendish Bananas Each, $0.76 / 1EA
Eat Later Hass Avocado Each, $2.90 / 1EA
Red Capsicum Each, $2.23 / 1EA
Green Zucchini Each, $0.78 / 1EA
Fresh Granny Smith Apples Each, $0.86 / 1EA
Tomato Roma Red Each, $0.62 / 1EA
Corn Sweet Each, $1.20 / 1EA
Lemon Fresh Each, $1.91 / 1EA
Red Seedless Watermelon Whole Each, $25.52 / 1EA
White Seedless Grapes each, $7.51 / 1EA
Woolworths Fresh Herb Coriander Bunch, $3.20 / 1EA
Strawberries 250g Punnet, $12.00 / 1KG
Eggplant Fresh Each, $2.21 / 1EA
Beetroot Loose Each, $1.95 / 1EA
Woolworths White Washed Baby Potatoes Bag 1kg, $4.30 / 1KG
Woolworths Kiwi Fruit Green Each, $2.36 / 1EA
Garlic Heads 3 Pack, $1.10 / 1EA
Woolworths Fresh Mint Bunch, $3.20 / 1EA
Woolworths Caesar Salad Kit 290g, $18.97 / 1KG
Woolworths Baby Spinach & Rocket 120g, $25.00 / 1KG
Mini-Roma Tomato 250g Punnet, $14.00 / 1KG
Capsicum Yellow Each, $2.48 / 1EA
Woolworths Gold Sweet Potatoes Bag 1kg, $4.90 / 1KG
Woolworths Brown Onions Bag 2kg, $2.75 / 1KG
Woolworths Celery Sticks 300g Punnet, $15.00 / 1KG
Woolworths Kiwi Fruit Green 8 Pack, $1.24 / 1EA
Woolworths Corn Cobbettes 425g, $12.94 / 1KG
Garlic Heads 3 Pack, $1.10 / 1EA
Mulgowie Green Beans Cleaned & Cut 340g, $17.06 / 1KG
Woolworths Green Cabbage Half Each, $3.40 / 1EA
Woolworths Green Cabbage Quarter each, $1.70 / 1EA
Woolworths Brushed Potatoes Bag 2kg, $3.25 / 1KG
Zerella Fresh Zerella Fresh Spudlite Baby Potato Pack Bag 750g, $4.67 / 1KG
Woolworths Tomato Truss 500g Punnet, $5.40 / 1KG
Beetroot Loose Each, $1.95 / 1EA
Woolworths Corn Sweet 500g Pack, $9.80 / 1KG
Pineapple Naturally Sweet Whole Each, $5.50 / 1EA
Kale Fresh Bunch, $3.90 / 1EA
Mushrooms Flat Large MIN. 350G, $13.50 / 1KG
Woolworths Lettuce Butter 170g, $23.53 / 1KG
Pak Choy Baby Asian Greens Each, $2.90 / 1EA
