Moira Mac's Smoked Chicken Breast 300g, $26.67 / 1KG
Woolworths Beef Scotch Fillet Steak With Peppercorn Butter 200g, $52.50 / 1KG
Woolworths Buttermilk Tennessee Style Chicken Wing Nibbles 600g, $14.17 / 1KG
Humpty Doo Barramundi Skin Off 260g, $53.85 / 1KG
Woolworths Beef Rump Medallions Thick Cut Steak 400g, $46.25 / 1KG
Woolworths Cook Chicken Drumsticks Sweet & Smokey Bbq Glaze 1.4kg, $7.14 / 1KG
Woolworths Smoked Streaky Bacon 200g, $33.50 / 1KG
D'Orsogna Natural Leg Ham Portion 700g, $22.86 / 1KG
Ingham's Turkey Breast Steaks 400g, $25.00 / 1KG
Primo Extra Crispy Streaky Bacon 200g, $34.00 / 1KG
Birch & Waite Rich Tartare Seafood Sauce 250ml, $2.10 / 100ML
