The Happy Snack Company Chickpeas Chocolate 5 Pack, $6.00 / 100G
Reese's White Chocolate Cups With Peanut Butter Filling 120g, $4.58 / 100G
Tic Tac Peppermint 24g, $8.33 / 100G
Cadbury Choc Centre Cookies 156g, $3.21 / 100G
Eclipse Spearmint Chewy Mints Bottle 93g, $5.38 / 100G
Nice & Natural Chocolate Nut Bar Apricot 180g x6 Pack, $3.06 / 100G
Werther's Original Toffees 3 Pack, $3.30 / 100G
Savour Snacks Peas Wasabi Flavoured 100g, $20.00 / 1KG
Smith's Double Crunch Potato Chips Share Pack BBQ Ribs 150g, $3.20 / 100G
Double 'D' Fruit Drops Sugar Free 90G Bag, $3.33 / 100G
