Olina's Bakehouse Simply Seed Crackers Herb & Garlic 80G, $5.63 / 100G
Darrell Lea Milk Chocolate Strawberry Bb's 168g, $3.57 / 100G
Kez's Kitchen Gluten Free Choc Raspberry Vienna Eclairs 190g, $4.16 / 100G
Noshu Less Sugar Dark Chocolate Cherry & Coconut Bites 100g, $6.50 / 100G
OB Finest Speciality Crackers Cranberry Pumpkin 150g, $4.33 / 100G
Red Rock Deli Deli Style Crackers Chef Series Crispy Chicken & Soy 135g, $3.70 / 100G
Lindt Lindor 70% Cocoa Dark Chocolate Bag 123g, $8.13 / 100G
Peckish Fancies Rosemary & Sea Salt 90g, $3.33 / 100G
Terry's Chocolate Orange Milk Ball 157g, $5.10 / 100G
Carman's Nut Bars Choc Espresso 5 pack, $4.69 / 100G
Mentos Fruit Chews 37.5g Roll, $4.27 / 100G
Zuru Gumi Yum Surprise Blue 21g, $14.29 / 100G
