Dodoni Cypriot Halloumi 225g, $37.78 / 1KG
Unreal Co. Plant Based Chick'n Chives Sausages 350g, $17.14 / 1KG
Mainland Cheese Tasty Block 250g, $28.00 / 1KG
Woolworths Korean Style Salad Kit 400g, $13.75 / 1KG
Devondale Sandwich Cheese Slices 500g, $15.00 / 1KG
Evergreen Gyoza Wrappers 275g, $1.49 / 100G
Dairy Farmers Shape Skim Milk 1l, $2.95 / 1L
Yumi's Avocado With Sea Salt Dip 65g x3 Pack, $2.05 / 100G
Dare No Added Sugar Triple Espresso Iced Coffee 500ml, $8.30 / 1L
