On The Menu Chicken Parmigiana Frozen Meal 320g, $2.19 / 100G
Herbert Adams Cream Cheese & Spinach Savoury Rolls 2 Pack, $1.71 / 100G
Herbert Adams Sausage Rolls King Island Beef Frozen 12 Pack, $2.50 / 100G
Connoisseur Ice Cream Belgian Chocolate 1l Tub, $1.20 / 100ML
National Pies Pasties 180g, $1.89 / 100G
Birds Eye Snap Frozen Mix Carrot Beans Broccoli Cauliflower &Capsicum 1kg, $6.50 / 1KG
Birds Eye Plant Based Wholemeal Crumb Chicken Tenders 300g, $2.53 / 100G
Gluten Free Bakehouse Chunky Beef Pie 2 Pack, $2.50 / 100G
Ocean Chef Peeled Tail Off & Deveined Raw Prawns 500g, $30.00 / 1KG
Bulla Creamy Classics Neapolitan Cones 4 Pack, $1.92 / 100ML
Ben & Jerry's Ice Cream Tub Chocolate Chip Cookie Dough 458ml, $3.17 / 100ML
Pampas Butter Puff Pastry 550g, $1.20 / 100G
Sara Lee Deep Dish Pie With Apple Crumble Top 800g, $1.31 / 100G
CORE Powerfoods Satay Chicken With Rice And Green Beans 350g, $2.71 / 100G
Sara Lee Butter Chocolate Cake 350g, $2.43 / 100G
