Woolworths Beef Porterhouse Steak & Butter 400g, $38.75 / 1KG
Woolworths Rspca Approved Chicken Kebab Honey Soy Each, $1.40 / 1EA
Woolworths Lamb Mince 500g, $16.00 / 1KG
Woolworths Middle Bacon 1kg, $13.75 / 1KG
Woolworths Short Cut Bacon 200g, $22.00 / 1KG
Woolworths Health Smart Extra Lean Diced Beef 500g, $22.00 / 1KG
Woolworths Green Banana Prawns Large Thawed Per Kg, $20.00 / 1KG
Chicken Schnitzel Crumbed Each, $3.70 / 1EA
Macro Grass Fed Australian Beef Mince 500g, $20.00 / 1KG
D'Orsogna Bacon Streaky 200g, $37.50 / 1KG
Woolworths Beef Rump Steak Medallion Small 300g, $41.67 / 1KG
Chicken Necks Fresh Per Kg, $5.00 / 1KG
