Weet - Bix Bites Crunchy Honey Breakfast Cereal 510g, $1.18 / 100G
Leggo's Red Wine Bolognese With Chunky Tomato & Herbs Pasta Sauce 500g, $0.92 / 100G
Vitasoy Almond Milky 1l, $3.00 / 1L
Kellogg's Froot Loops Breakfast Cereal 285g, $2.46 / 100G
Sunrice Risotto Style Rice 750g, $0.40 / 100G
Heinz Canned Spaghetti Pasta In Tomato Sauce 300g, $0.93 / 100G
Kikkoman Soy Sauce Soy 600ml, $1.32 / 100ML
Woolworths Pepitas 300g, $14.00 / 1KG
Mayver's Crunchy Peanut Butter 375g, $1.55 / 100G
Kellogg's Crunchy Nut Corn Flakes Breakfast Cereal 380g, $1.84 / 100G
Cadbury Baking White Chocolate Chips 200g, $2.50 / 100G
Maggi Gravy Mix Roast Meat 27g, $0.46 / 10G
Aeroplane Original Strawberry Flavoured Jelly 85g, $1.76 / 100G
Lipton Quality Black Tea Bags 100 Pack, $0.07 / 1EA
Annalisa Beans Cannellini 400g, $4.75 / 1KG
San Remo Thin Spaghetti No. 4 500g, $0.59 / 100G
Leggo's Australian Grown Tomato Paste No Added Salt 50g x 4 pack, $1.60 / 100G
