Yoplait Vanilla Yoghurts 6 Pack, $0.68 / 100G
Pura Thick Cream Dollop 300ml, $1.57 / 100ML
Yumi's Mini Hommus 65g x3 Pack, $1.95 / 100G
Jarlsberg Original Cheese Slices Sliced Cheese 150g, $56.67 / 1KG
Pauls Zymil Light Thickened Cream Lactose Free 300ml, $1.37 / 100ML
Cheer Cheese Tasty Cheese Block 1kg, $14.95 / 1KG
Pauls Double Thick Custard French Vanilla 900g, $0.76 / 100G
Western Star Spreadable Butter Blend Tub Soft 'n' Less Salt 500g, $1.40 / 100G
Riverina Fresh Lactose Free Full Cream Milk 2l, $2.98 / 1L
Kraft Singles Original 216g, $24.31 / 1KG
Jalna Biodynamic Whole Milk Yoghurt 1kg, $0.88 / 100G
Chobani Greek Yogurt Tropical Fruit 160g, $1.69 / 100G
